OrgID,Department,Employee_Number,Telework Eligible Class,Work Schedule,1 Way Commute Miles,1 Way Commute Minutes,Telework Days,Report Date
7760,DGS,DGS03006,Yes,Standard,,,0,10/18/2021
7760,DGS,DGS03007,Yes,Standard,,,0,10/18/2021
7760,DGS,DGS03008,Yes,Standard,,,2,10/18/2021
7760,DGS,DGS03009,Yes,Standard,,,5,10/18/2021
7760,DGS,DGS03010,Yes,Standard,,,3,10/18/2021
7760,DGS,DGS03011,Yes,Standard,,,4,10/18/2021
7760,DGS,DGS03012,Yes,Standard,,,0,10/18/2021
7760,DGS,DGS03013,Yes,Standard,,,5,10/18/2021
7760,DGS,DGS03014,Yes,Standard,,,0,10/18/2021
7760,DGS,DGS03015,Yes,Standard,,,0,10/18/2021
7760,DGS,DGS03016,Yes,Standard,,,5,10/18/2021
7760,DGS,DGS03017,Yes,Standard,,,0,10/18/2021
7760,DGS,DGS03018,Yes,Standard,,,0,10/18/2021
7760,DGS,DGS03019,Yes,Standard,,,3,10/18/2021
7760,DGS,DGS03020,Yes,Standard,,,0,10/18/2021
7760,DGS,DGS03021,Yes,Standard,,,5,10/18/2021
7760,DGS,DGS03022,Yes,Standard,,,1,10/18/2021
7760,DGS,DGS03023,Yes,Standard,,,4,10/18/2021
7760,DGS,DGS03024,Yes,Standard,7.98,12.92,5,10/18/2021
7760,DGS,DGS03025,Yes,Standard,55.14,52.95,0,10/18/2021
7760,DGS,DGS03026,Yes,Standard,11.68,17.88,0,10/18/2021
7760,DGS,DGS03027,Yes,Standard,42.73,57.07,0,10/18/2021
7760,DGS,DGS03028,Yes,Standard,,,5,10/18/2021
7760,DGS,DGS03029,Yes,Standard,6.75,13.77,0,10/18/2021
7760,DGS,DGS03030,Yes,Standard,13.38,21,1,10/18/2021
7760,DGS,DGS03031,Yes,Standard,14.76,18.18,5,10/18/2021
7760,DGS,DGS03032,Yes,Standard,9.86,17.53,1,10/18/2021
7760,DGS,DGS03033,Yes,Standard,8.02,12,5,10/18/2021
7760,DGS,DGS03034,Yes,Standard,40.43,42.08,5,10/18/2021
7760,DGS,DGS03035,Yes,Standard,11.45,21.48,2,10/18/2021
7760,DGS,DGS03036,Yes,Standard,13.21,19.92,5,10/18/2021
7760,DGS,DGS03037,Yes,Standard,7.92,12.25,0,10/18/2021
7760,DGS,DGS03038,Yes,Standard,10.09,16.53,4,10/18/2021
7760,DGS,DGS03039,Yes,Standard,11.43,15.88,0,10/18/2021
7760,DGS,DGS03040,Yes,Standard,18.24,25.55,5,10/18/2021
7760,DGS,DGS03041,Yes,Standard,18.14,24.37,4,10/18/2021
7760,DGS,DGS03042,Yes,Standard,15.78,18.72,3,10/18/2021
7760,DGS,DGS03043,Yes,Standard,27.64,35.23,1,10/18/2021
7760,DGS,DGS03044,Yes,Standard,3.54,8.9,2,10/18/2021
7760,DGS,DGS03045,Yes,Standard,20.03,27.62,0,10/18/2021
7760,DGS,DGS03046,Yes,Standard,8.74,14.97,1,10/18/2021
7760,DGS,DGS03047,Yes,Standard,10.82,18.7,1,10/18/2021
7760,DGS,DGS03048,Yes,Standard,18.12,23.88,3,10/18/2021
7760,DGS,DGS03049,Yes,Standard,12.03,18.27,0,10/18/2021
7760,DGS,DGS03050,Yes,Standard,28.33,30.8,4,10/18/2021
7760,DGS,DGS03051,Yes,Standard,31.19,35.23,0,10/18/2021
7760,DGS,DGS03052,Yes,Standard,45.97,46.72,5,10/18/2021
7760,DGS,DGS03053,Yes,Standard,1.55,7.12,4,10/18/2021
7760,DGS,DGS03054,Yes,Standard,0.44,2.83,5,10/18/2021
7760,DGS,DGS03055,Yes,Standard,21.1,25.48,3,10/18/2021
7760,DGS,DGS03056,Yes,Standard,10.61,18.62,4,10/18/2021
